time,temp (C),hum
1546319700,6.111111111,80
1546320900,6.111111111,80
1546322100,6.111111111,80
1546319700,6.111111111,80
1546320900,6.111111111,80
1546322100,6.111111111,80
1546319700,6.111111111,80
1546320900,6.111111111,80
1546322100,6.111111111,80
1546320900,10,80
1546322100,10,80
1546319700,11.11111111,80
1546320900,12.22222222,80
1546322100,12.22222222,80
1546319700,12.22222222,80
1546322100,12.77777778,75
1546319700,12.77777778,75
1546320900,12.77777778,75
1546321560,12.77777778,75
1546321500,12.77777778,75
1546321500,13.88888889,61
1546321500,13.88888889,57
1546322100,13.88888889,50
1546321500,12.77777778,44
1546321500,12.77777778,40
1546368300,11.11111111,43
1546371900,8.888888889,49
1546375500,8.888888889,46
1546379100,7.777777778,49
1546382700,7.222222222,52
1546386300,7.222222222,48
1546390500,6.111111111,52
1546393800,6.111111111,48
1546397100,6.111111111,45
1546400100,5,45
1546401300,5,45
1546402500,5,45
1546403700,3.888888889,48
1546404900,3.888888889,48
1548998100,-13.88888889,52
1548999300,-13.88888889,52
1549000500,-13.88888889,52
1548998100,-15,62
1548999300,-15,62
1549000500,-15,62
1548998100,-15,57
1548999300,-12.77777778,44
1549000500,-12.77777778,40
1548999300,-12.77777778,40
1549000500,-12.77777778,40
1548998100,-12.77777778,40
1548999300,-13.88888889,44
1549000500,-15,57
1548998100,-13.88888889,48
1548999300,-15,52
1549000500,-15,57
1548998100,-16.11111111,62
1548999300,-16.11111111,62
1548999900,-15,57
1549000200,-13.88888889,57
1548999900,-12.22222222,37
1549000200,-11.11111111,38
1548999900,-10,35
1549000200,-8.888888889,32
1549000200,-7.777777778,30
1549047000,-7.777777778,30
1549050300,-7.222222222,33
1549054200,-7.222222222,36
1549057800,-7.222222222,36
1549061400,-7.222222222,39
1549065000,-7.777777778,42
1549068960,-8.888888889,49
1549071900,-10,53
1549075560,-11.11111111,58
1549077300,-12.22222222,63
1549078500,-12.22222222,63
1549079700,-12.77777778,68
1549080900,-12.77777778,68
1549082100,-12.77777778,68
1549083300,-12.77777778,68
1551418500,-2.222222222,34
1551419700,-2.222222222,34
1551417300,-2.222222222,34
1551419700,-2.222222222,34
1551417300,-2.222222222,37
1551418500,-2.222222222,37
1551419700,-2.222222222,37
1551417300,-2.222222222,37
1551418500,-2.222222222,37
1551419700,-2.777777778,51
1551417300,-3.888888889,64
1551418500,-5,80
1551419700,-5,80
1551417300,-5,80
1551418500,-3.888888889,74
1551419700,-3.888888889,74
1551417300,-3.888888889,74
1551418500,-3.888888889,74
1551419160,-5,80
1551417300,-3.888888889,74
1551419400,-3.888888889,74
1551417600,-3.888888889,74
1551419940,-2.777777778,68
1551419100,-2.222222222,68
1551417300,-2.222222222,68
1551419160,-1.111111111,68
1551419100,-1.111111111,68
1551419100,0,64
1551465900,1.111111111,60
1551469800,1.111111111,64
1551473100,1.111111111,64
1551476700,1.111111111,64
1551480300,1.111111111,64
1551483900,1.111111111,64
1551487500,1.111111111,64
1551491100,0,69
1551494700,0,69
1551496500,0,69
1551498900,0,69
1551500100,0,69
1551502500,0,69
1554092100,2.777777778,41
1554094500,2.777777778,38
1554092100,2.222222222,41
1554093300,2.222222222,38
1554094500,1.111111111,40
1554092100,1.111111111,40
1554094500,0,44
1554092100,0,44
1554094500,0,44
1554092100,0,44
1554094500,0,44
1554092100,0,44
1554094500,0,44
1554093300,-1.111111111,44
1554093900,-1.111111111,47
1554093900,0,48
1554094500,1.111111111,40
1554093900,2.222222222,38
1554093900,2.777777778,36
1554094200,3.888888889,33
1554093900,6.111111111,28
1554140700,6.111111111,28
1554144300,7.222222222,24
1554147900,7.222222222,23
1554151500,7.222222222,21
1554155400,7.222222222,21
1554158700,6.111111111,23
1554162300,3.888888889,28
1554165900,2.222222222,41
1554169500,-1.111111111,60
1554172500,-1.111111111,64
1554173700,-1.111111111,60
1554174900,-2.222222222,68
1554176100,-2.222222222,68
1554177300,-2.222222222,74
1556684100,12.22222222,57
1556686500,12.22222222,53
1556684100,12.22222222,57
1556685000,12.22222222,61
1556686500,12.22222222,65
1556683800,12.22222222,65
1556686500,12.22222222,70
1556684100,12.22222222,70
1556686500,12.22222222,57
1556684100,12.22222222,57
1556686200,12.22222222,53
1556684100,12.22222222,57
1556685300,12.22222222,57
1556686500,11.11111111,61
1556684100,11.11111111,65
1556685960,12.22222222,65
1556686200,11.11111111,70
1556685900,11.11111111,65
1556685900,12.22222222,57
1556685900,12.22222222,57
1556685900,12.22222222,57
1556686080,12.77777778,53
1556732700,12.22222222,53
1556736300,12.77777778,47
1556739900,12.22222222,61
1556743500,11.11111111,65
1556747100,11.11111111,70
1556750220,10,80
1556750700,10,80
1556754300,10,80
1556757900,10,80
1556761500,10,80
1556765400,10,80
1556766600,10,80
1556768100,10,80
1556769300,10,80
1559362500,17.22222222,80
1559363700,16.11111111,80
1559364900,16.11111111,80
1559362200,16.11111111,80
1559363700,16.11111111,80
1559364900,16.11111111,80
1559362500,16.11111111,80
1559363700,15,80
1559364900,16.11111111,80
1559362500,16.11111111,80
1559363700,15,80
1559364900,15,80
1559362500,15,80
1559363700,16.11111111,80
1559364900,15,80
1559363700,15,80
1559364900,15,80
1559363700,15,80
1559364300,13.88888889,80
1559364300,17.22222222,80
1559364600,18.88888889,62
1559364300,21.11111111,55
1559364300,22.77777778,48
1559364900,23.88888889,45
1559364900,25,40
1559411700,26.11111111,38
1559414700,27.22222222,38
1559418600,27.22222222,38
1559422200,26.11111111,38
1559425500,25,40
1559429100,23.88888889,40
1559432700,22.77777778,48
1559436300,22.22222222,55
1559439900,18.88888889,70
1559442900,20,70
1559444100,20,70
1559445300,20,66
1559446500,18.88888889,70
1559447700,18.88888889,75
1561954500,18.88888889,51
1561955700,20,48
1561956900,18.88888889,51
1561954500,18.88888889,51
1561955700,18.88888889,51
1561956900,18.88888889,51
1561955700,17.77777778,54
1561956900,17.77777778,54
1561954500,17.22222222,61
1561955700,17.22222222,61
1561956900,16.11111111,66
1561954500,17.22222222,61
1561955700,17.22222222,61
1561956900,15,70
1561954500,15,75
1561955700,16.11111111,66
1561956900,16.11111111,66
1561954500,16.11111111,70
1561956300,17.22222222,70
1561956300,20,58
1561956300,22.22222222,52
1561956300,23.88888889,48
1561956900,26.11111111,43
1561956300,26.11111111,43
1561956300,27.22222222,38
1562003100,27.22222222,40
1562007300,28.88888889,32
1562010900,28.88888889,34
1562014500,28.88888889,36
1562017800,28.88888889,34
1562021400,27.77777778,38
1562024700,27.22222222,40
1562028300,25,45
1562031900,21.11111111,62
1562034900,18.88888889,66
1562037300,18.88888889,66
1562038500,17.77777778,70
1562039700,17.77777778,75
1564632900,20,80
1564634100,18.88888889,80
1564635300,20,80
1564632900,20,80
1564634100,18.88888889,80
1564635300,20,80
1564634100,18.88888889,80
1564635300,18.88888889,80
1564632900,18.88888889,80
1564634100,18.88888889,80
1564635300,17.77777778,80
1564634100,17.77777778,80
1564632900,17.77777778,80
1564634100,17.22222222,80
1564635300,17.77777778,80
1564632900,17.77777778,80
1564634100,17.77777778,80
1564634700,18.88888889,80
1564635180,21.11111111,80
1564635300,22.77777778,75
1564634700,25,63
